orig_smiles,noisy_smiles,molecular_formula,tries
Cc1ccc(S(=O)(=O)N[C@H](c2nc(-c3ccc(-c4csc(C)n4)cc3)no2)C(C)C)cc1,CC1C2OC34N5C6=CC7C8C(OCS)C9C1N3C(CN72)C1C5C2OC83SC5(C2NC35)C1C694,C23H24N4O3S2,1
COc1ccc(NC(=O)CSc2nc3c(c(=O)[nH]2)CCC3)cc1,ONC12CCC34N5C6C7=CC(SO)C38C3C(C4(CCON58)C71)C632,C16H17N3O3S,2
CO[C@H]1C[C@@H](Cn2ccc(NC(=O)OC(C)(C)C)n2)N(Cc2c[nH]nc2C)C1,CC(CC(N)NCOO)C1N2CCN3N4OC5CCCC13C1(C5)C4C=C=CN21,C19H30N6O3,1
O=C(NCc1ccc(F)cc1)N1CC(Oc2cccc(C(F)(F)F)n2)C1,C=C1CC2(F)C34C5=CCN6CC7(O)C=C(NC3(F)C(F)(O1)C2(C6)N5F)C74,C17H15F4N3O2,1
Cc1ccc(C)c(-n2nnnc2SCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)c1,NC1(O)NC2C3CN4C56CCC7C8=C9C%10NC%11(O)NC1C(SN8C24O5)(C%116)C73N9%10,C17H19N7O3S,1
CCOc1ccc(CN2CCN(CCCn3cccn3)CC2CCO)cc1,OOCCCC1CCC2NCC3NC4(CC5C6CC27C(C=C3C4C57)CN6)N1,C21H32N4O2,1
Cc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5Cl)ccc43)c2)ccc1N1CCOCC1,CC12CC3C4C5CC6=CC7CC4(Cl)N4CC8NC9%10C3%11NOC3C(C4%11)N4C%11C1%12C(C1(O8)C%12C18C3(CN52)C7=CC%1198)C64%10,C31H28ClN5O2,1
O=C(Cc1ccc(C(F)(F)F)cc1)NC(NC(=O)Cc1ccc(C(F)(F)F)cc1)c1ccccc1,FC1C2C3C4(F)ONCC56C7C28CN2C9=CC7(F)C27C9CC2C(O8)C7(C5F)C5(CC5)C1(F)C3(F)C246,C25H20F6N2O2,1
O=c1c2ccccc2nc(/C=C/c2ccc(Cl)cc2)n1-c1nnc(-c2cccc(Cl)c2)s1,OC1C23C4C5N6C78C9C%10%11C(Cl)C5(C17Cl)C15C7CN%12C1%13C1%14C%15C5N7C5(N2C%1035)C6(C4%15)[SH]12(C%11C9%142)C%128%13,C24H14Cl2N4OS,1
CCSC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CCC1C(C)C2C3=C4C56C1SNC31COC53CC3C43C4C(NCl)C2C42C6C132,C22H23ClN2OS,2
C#CCOc1ccc(Cl)cc1/C=C1/C(=O)ON=C1C,ClC1C2C3C4OC56C7=CC5(C72)C2C6OC35CN4OC125,C14H10ClNO3,1
COc1cccc(CNC(=O)Cn2nc(C)n3c(cc4cc(C)ccc43)c2=O)c1OC,OC12NCC34C5C6NC7CC(O7)C78NC9%10CC5%11OC5NC%12(C37)C9(C(CC1C8O6)C5%11)C4C2%10%12,C23H24N4O4,1
O=C1CCN(CCc2ccccc2)CCN1[C@H](CSc1ccccc1)c1ccccc1,C1=C2C3C45CC6C7C(O[SH2]234)C2C3CC48C9CC25C2C5CC4C52CNNC8C1(C3)C71C6C91,C27H30N2OS,2
O=C(NCc1cccc2ccccc12)N/N=C\c1ccc(Cl)cc1,CC1OC23C4=CCCN5N1C16C=C7C2C2C8N1C1C(C413)C8(C26)C75Cl,C19H16ClN3O,1
CC(C)(C)c1ccc(COc2ccc(CSc3ccc(OCC(=O)O)c4c3CCC4)cc2)cc1,SC1COC23C4C5C6CC6C6OC78CCC4C49C1CC1C%10OC%10CCC6C4(COC79)C24C5C18C34,C29H32O4S,2
CCc1cc(C(=O)Nc2ccccc2)cs1,ON1C2C3C4C56CC7C2C42CC2(CC731)C5S6,C13H13NOS,2
COc1ccc(CCC(=O)O)cc1-c1cc(-c2ccc(Cl)cc2)n(Cc2ccccc2)n1,ClC12C3CC4OC15CC31CC3C6C7OC8OCC4C4(CCC49C5N4C5=NC29C42C7C2C58)C361,C26H23ClN2O3,1
COc1ccc(C(=O)NCC2CCCO2)cc1S(=O)(=O)N1CCCc2ccccc21,NC12CC3OC4(O)C5=[SH2]6OC1(O)C17CC4C48C1CNC1(C74)C(C6C4(CO)CC34)C18C52,C22H26N2O5S,2
O=C(O)c1c(Cl)ccc(Cl)c1Cl,ClC1C2C3=C4C1C42C(Cl)(Cl)OO3,C7H3Cl3O2,1
Cc1ccc(O)c(N=Nc2c(O)cc(S(=O)(=O)O)c3ccccc23)c1,C1OC23CC45N6C7C2CSC2C8=C2C42OC4C8C7(CC1OC25N46)OO3,C17H14N2O5S,3
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(Br)C(F)(F)Br,FC(F)(F)OC(F)(F)C(F)(OC(F)(Br)C(F)(F)Br)C(F)(F)C(F)(F)C(F)(F)F,C8Br2F16O2,2
CCCCC[C@H](CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CCC1(CO)CCC(O)C1(C(C)O)C(O)OC(C)CO,C14H28O6,5
COc1ccc(Cc2c(-c3ccc(Cl)cc3)nc3cc(C)c(Br)c(C)n23)c(C)c1,C=C1C2=C3C4CCC5(CCBr)C6C=C=C2C27C8CC42C1(CC1C38C17N6N)C5(O)Cl,C24H22BrClN2O,1
O=C(O)CCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,OCC(O)C1C(O)C2CCC(C=C3C4OC341)CC(O)(CC(O)O)C2,C17H26O7,3
CCOc1ccc(C(C)=O)cc1NC(=O)/C=C\C(=O)O,OC1C2CC3=CN1C14OC3C1C1OC43CC2CC1OO3,C14H15NO5,1
O=C1O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H]1O,COC1(O)OOOC(=CO)OOC1S,C5H8O8S,2
CC(=O)c1c(C)[n+]([O-])c2ccc(C)cc2[n+]1[O-],CC1=C2C3NN4C5C36C(C)C(O)OC13OC54C236,C12H12N2O3,1
ClC(Cl)(Cl)C(=O)OCCc1ccccc1,ClCC1C2OC3(Cl)C(OC4=C(C4)C13)C2Cl,C10H9Cl3O2,2
O=C(NCc1ccccc1)c1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,NC1CN2C34OC56C7CCC8C9%10CC%11C%12%13OCC=C3C(C7)C%12C1C(N59)C2%10C12CCC%131OC1(CC1C62)C%1184,C30H31N3O3,2
Fc1ccc(COC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)cc1,NC12C3C4CC5C6CC7C8C7C57C5C69C4CC4C6C9C1C1(F)CC(C3C87O)C5(C1)C462,C27H28FNO,1
CCN(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)Cn1c(=O)cnc2ccccc21,OCC1(F)C2C3C4C5=C6C7C8N(C5C61C78C3F)C21C(CNO)N2CON3C4C24C1C34F,C21H19F3N4O3,1
CCc1c(C)nc(O)c(N(C)C)c1C(=O)c1cccc(/C=C\c2ccccn2)c1,CCCN1OC23C4C5C4C46CC7C8C(C)C1CN5C15C9C8%10C1(OC2(C94%10)C735)C1CN16,C24H25N3O2,2
COc1ccc(OC)c(NC2=C(Cl)C(=O)N(c3ccc(C)c(Cl)c3)C2=O)c1,ClC1OC23C4OC2C32CC1(Cl)C1OCC4C34C15NC=C1NC2CC2C3(O5)C124,C19H16Cl2N2O4,1
Cc1cc(OCCCC(=N)N)cc(OS(=O)(=O)c2ccccc2Cl)c1,CC12C3C4OOC56OC78OC9%10C%11CC5N(C19)C7([SH5])C2(C8CN43)C6%10C%11Cl,C17H19ClN2O4S,1
O=C(Nc1ccnn1C1CCN(CC2CC=CCC2)CC1)c1ccccc1Cl,CC1CC2C3NC4C5(CCl)CC6OC7CC28C2NC(C1N5)C15C(C62)C41CC38N75,C22H27ClN4O,1
CN(C)C(=O)c1ccc(Br)cc1NC(=O)OC(C)(C)C,COOC1CC23C4C2C32C3CC(C(O3)C(N)C1(C)Br)N42,C14H19BrN2O3,1
CC(C)(C)c1noc(OCc2cccc(C#N)c2)n1,C1NC2=NC34CC2C2ONOC5CC6C7C5C63C27C14,C14H15N3O2,2
Cc1cccc(NC(=O)CSc2nc(=O)n(CCN3CCOCC3)c3c2CCC3)c1C,CC1OC23OC4N5NCC6C7NC89C=CC74SCC4C6(CCCC45C1NO8)C2C3C9C,C23H30N4O3S,2
C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C(C=O)[C@](O)(C(=O)O)[C@@]2(C)CCCC(C)(C)[C@H]12,CC1C2C3OCOC45CC46C1OC1CC(C=CCC(CC4(O)COC26C4)C15)C3O,C23H30O6,1
COc1ccccc1-c1cc(Nc2ccc(F)cc2)ncn1,FC12NCC3CC4C5=CC6C57C15C3C(C45)N1N3OC4C3C67C412,C17H14FN3O,5
CS(=O)(=O)OC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,CCCCC1(CO)C(C(CO)NS)CC2CCC3C4C2CC2C5OC5(N1O)C324,C21H34N2O4S,3
COc1ccc2c(c1)C(N1CCN(S(=O)(=O)c3cccc(C)c3)[C@@H](C)C1)=Nc1ccccc1O2,OC1C2C3C4C5C6C7C89CC%10OC1N1C%11%12O[SH4]N5C85C61C1(CCC(C6=CC15C37C69)C%10%11)C2NC4%12O,C26H27N3O4S,1
CC(C)c1nn(C)cc1CNCCc1cccc2cccnc12,CC12NC3CCC4NC1NC1C(C5CC67C2=CC=CN6C47C5)C31,C19H24N4,2
Cc1ccc(NCc2nnc(SCC(=O)NNC(=O)Cc3ccccc3)n2C)cc1,CC12NNC3CN4C5OC6NNC7(C3)NC1(O)C13C8CC9%10CCC42C1C81SC59C67C1%103,C21H24N6O2S,1
COc1ccc(NS(=O)(=O)c2cccc(C#N)c2)cc1N1CCN(C)CC1,C1=CN2C3C4O[SH2]56C7CC8OC9C(=NN95)C76C4C=NCC4CCC2(O8)C43C1,C19H22N4O3S,1
COc1c(C(C)=O)c(O)c(OCc2ccccc2C)c2occc12,CC12OC34C5C(O)OC67C8C19OC3C1(C2CCO)C9C62CC5C12C847,C19H18O5,1
COc1cc2c3c(ccc(-c4ccccc4)c3c1OC)C(=O)OC2=O,OC12C3C#CC14C1C5OC67OC8C3OC5C3C5OC9(C2C5CC8C369)C174,C20H14O5,1
Cc1nnc(CNC(=O)c2oc3c(C)c(C)ccc3c2C)o1,ON1C2C3=CNC14NC1C5C6C3C1(O)C1C3OC14CC3CC562,C16H17N3O3,1
N=C(N)c1ccc2c(c1)ncn2CC(=O)c1ccc(-c2ccccc2)cc1,CN1N=C2C3C4=C5C1C1OC67CC8(C25)N2CN4C4C6C35C3C2C2C(C37)C24C158,C22H18N4O,1
CCn1cc(C(=O)OCC(=O)c2ccc(Cl)cc2)c(=O)c2ccc(C)nc21,OCC1C(O)C2C3C4C5C6=C7C6CC(OC68C9C%10%11C3C46C%10(OC75)C98N2%11)N1Cl,C20H17ClN2O4,1
CN1CCCC(c2nc(-c3cn(C)c4ccccc34)no2)C1,CC12NC3CC4C5=CC36C37C8NC(NCC1(N)C54)C2(O)C63C87,C17H20N4O,1
COc1ccccc1OP(C)(=O)Nc1cccc(Br)c1,CC12CC3=C4C56C(OOBr)(NC(=C7C[PH]745)C1CO)C36C2,C14H15BrNO3P,1
CCCCCOC[C@H](COP(=O)(O)OC)SC(=O)CCC,CCOC(SCC(O)C1OC=CCOC(O)C1C)[PH2](C)O,C13H27O6PS,1
COc1ccc(NC(=O)CSc2nc(C3CC3)nc3ccccc23)cc1,C=CC12CC3C4C5C6OC7(C1C(=C)SO)C1C(N57)C15C1C2C3(N65)C12NC42,C20H19N3O2S,1
Clc1cc2nc(C3CCNCC3)n(CCCCSc3[nH]cnc4ncnc3-4)c2cc1Cl,NC1C2CC3N4C5C6C(C2)C62C6C7N(Cl)N8C1C19NC%10%11N3C3(NC(Cl)[SH4]1)C64C8C5%10C9%11C723,C21H23Cl2N7S,1
Clc1ccc(-n2ncc3c(NCc4ccco4)ncnc32)cc1,ClC1C2N3NC45C67C8C9%10NNC9C9C6C26C7N2OC(C182)C64C95C3%10,C16H12ClN5O,1
O=C(Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1)c1ccccc1,CN(Cl)C1(O)CNC23C4CC56C78C9=C7C7%10C%11OC7%12C94C%114C5(N1)C82C%106C3%124,C19H12ClN3O2,1
COc1ccc(C(CNC(=O)CCNC(=O)c2ccccc2Cl)N2CCCC2)cc1,CC1C2CC3OCC45CC6CN4C4C7(CC5O)C(OC58CC59C(N8)C14C6N9C3Cl)C27,C23H28ClN3O3,1
Oc1ccc2c(c1)CCCC(c1ccc3[nH]ccc3c1)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,FCC12C3C14C1CC5C6COC7N8C9C%10C%11N%12C%13CC(C1%128)C18CC7%12CC4C2(C%101)C38C%12C(CCCC%119O6)C5%13,C32H33FN2O2,1
O=C(NCc1ncccc1F)c1coc(CCN(CCc2nc3ccccc3[nH]2)CCc2nc3ccccc3[nH]2)n1,NC1C2CN3CC45CC67C8NC9%10C%11CN8C8OC%12CN%13C%14C39C43C(C4CO4)(C16)C14C5C(N5C%11C5N1C%133C%1474)C%10(C2F)N%128,C30H29FN8O2,1
O=C(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)cn(Cc2cccs2)c1=O,CC12NC3(F)C4OC5C6OC78N9CN%10C%11%12C%13C%14C%15C5(C5C%13%16NC%15(C%11NC6O)[SH2]5(C%12C1%16)C%14%103)C71C2C81C49,C25H24FN5O3S,1
COc1ccc(-n2ncc3c2CC(C)(C)CC3NC(=O)c2ccoc2C)cc1,CC1COC23C4CC5C6CN7CC89OC%10(O4)C2C7(N)C%10(C5C12CN2)C81CC1C639,C22H25N3O3,1
N[C@@H]1C[C@@H]2CCC[C@H](C1)N2S(=O)(=O)c1ccc(Cl)cc1,OC1C(S)C2C3NCC(C4C5C6C(N46)C352)C1(O)CCCl,C14H19ClN2O2S,1
COC(=O)c1c(-c2ccccc2)oc2c1C(OCCO)CCC2,CC1COOC2C3C45OOC6CC37CC3C4C27C1C6C1C5C31O,C18H20O5,1
O=C(c1ccncc1F)N1CC2CC1CO2,NN1C2C3C4C5C26C2C(F)OC1C5(O)C32C46,C11H11FN2O2,1
CSc1sc(C(=N)N)cc1-c1csc(-c2ccccc2)n1,C1[SH3]2C34NC56C7C38SC13CC19C%10%11CC2(N(C781)C3%105)C69C4NS%11,C15H13N3S3,1
O=c1ccn(F)c(=O)[nH]1,ON1OC2=C3CC1(F)N32,C4H3FN2O2,1
Cc1cccnc1NC(P(C)(=O)O)P(=O)(O)O,OC[PH]1(NO)[PH2]2C34CC(ON3)C35C4C23C51OO,C8H14N2O5P2,1
COCCNCCC(=O)Nc1sc2c(c1-c1nc3ccc(-c4cc5cccc(OC)c5[nH]4)cc3s1)CCNC2,OC1NC23C4CC5N6SC(C7C89C%10C[SH](C4)C4=COC%10C2%10C2%11CC%12%13C%14CC8(C%129)N(C(CC4C2C%14C7%13%10)C6%11)N3O)N15,C29H31N5O3S2,1
C=CCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1,CC12C3CC4OOC1(CCO)C1COC5(OC5(CO3)C1O)C42,C15H20O7,3
CC(=O)c1ccc(C(C)C)cc1,C1CC2CC3C4=C(CC3O1)C2C4,C11H14O,1
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(Cc3cc(F)c4c(c3)COB4O)S(C)(=O)=O)c(C3CC3)cc12,BC12C3C4COC(OF)NC56C7C8C9C%10C%11OOC%12C5%13C5%14O[SH]%15%16(C)C3C3C5C5C%10C53C(F)(C8(OC16%14)C%15N9C2%13C%117)C4%12%16,C28H25BF2N2O6S,2
CN(C(=O)c1ccc(-n2cccn2)cc1)[C@@H]1CCN(C2CCCC2)C1,CC1=CC2C3N4COC1C(C)C(C)(N)C1NC25CC2NC16C1C2C46C315,C20H26N4O,1
O=C1NCC2(C[C@@H]3CCCC[C@@H]3[C@H]2/C=C/c2ccc(-c3cccc(F)c3)cn2)O1,FCNCCC1CONC23C4CC5C2C26C7=C8C9%10CC2C3C8(C56)C92CC7(C%10)C12O4,C24H25FN2O2,2
CCc1cc(N2CCN(C(=O)c3ccc(C)cc3)CC2)nc2nnc(C)n12,NC12CC3C4CC15C1CN6CC25N2C5C7=C8C(NC32C8C51)N7C6CCON4,C20H24N6O,2
Cc1sc(NC(=O)C2CSC3(C)CCC(=O)N23)nc1-c1ccccc1,NC1C2CCC34C5C6CC67C6ONC8=[SH]9%10C6C96OCC13C5N(SC874)C26%10,C18H19N3O2S2,1
CC(C)(N)C(=O)N1CCC[C@@]2(CCC(=O)N(CCc3ccccc3)C2)C1,COC1C(OC)C2C3CC4C5CCC3NC2(C)C1NC1(C)C5C2=CC1N24,C21H31N3O2,1
Cc1ccc(C(=O)N2CCS(=O)(=O)C[C@H]2C2CCC2)c(Cl)c1,CC12OC3C4CC5C6C3C56C(C4C3=C1O3)C(O)(Cl)C(=N)C[SH4]2,C16H20ClNO3S,1
O=C(C(F)=C(F)F)N(CC)CC,OC1C=CCCC1C(F)(F)NF,C7H10F3NO,2
Cc1ccc(-c2cc(-c3c(C)nn(-c4ccccc4)c3-n3cncn3)n3c(n2)nc2ccccc23)cc1,C1=C2N3C4=C5C1C1CC67CCNC8N9N3C53NC5%10C%11NC8%12C8C%13C%14(C%15=C(CC29C%155C%102C8%13C632)C%11C7C%14N4)N1%12,C29H22N8,1
N=C1S/C(=C\c2ccc(-c3ccc4c(c3)C(=O)NC4=O)o2)C(=O)N1c1ncc[nH]1,C1=C2C3C4SC5=C6C7C89CC3%10NN(ON1)N1OC73C17OC2C1(C8=CO%10)N6C4C51C937,C19H11N5O4S,1
CCOc1ccc(Sc2cc(C(=O)NCc3ccccc3Cl)c3ccccc3n2)cc1,CC12OC3N(Cl)C45C6C7C1C=CC1C8N7C2OC2C(S)C79C%10C(C74)C34C3C(C865)C39C14C2%10,C25H21ClN2O2S,2
N#CC=1C(F)=CC=CC1OC,FCC1C23CC24C2N5C1(O3)C254,C8H6FNO,2
c1ccc(Cn2nnc3c(NC4CC4)nc(-c4ccccc4)nc32)cc1,C1=C2CC34C5NC6N7NC89NC63C3CC34C8C3N(CC4C5C5NC59C437)C=12,C20H18N6,1
CCOc1ccccc1-n1c([S-])c(C(=O)Nc2ccc(C)cc2)[n+]2ccccc12,CC12CC3C4C5=COCC67CN8C9NC%10N%11C%12%13C%14C(C81)C2(SOC%12C46C3%14C59)C%10%11C%137,C23H21N3O2S,1
CCOC(=O)C1=CC(OC(CC)CC)C(N=C(C)O)C(N)C1,NOCCC1C(O)CC23CC(O)(O)C1CC(CN2)C1CCC13,C16H28N2O4,1
COc1ccc(-c2nc(N3CCN(C(=O)C4CCCCC4)CC3)c3c4c(sc3n2)CCCC4)cc1,C=C1C2CN3CC4=C5OC6=C7C3C7N3CCC7(C8CC1C31CC(C4OC8S)C2N7C1C)C5C6(C)N,C28H34N4O2S,1
CNC(=O)CCSc1nnc(-c2ccc(Cl)cc2Cl)o1,ClNC12ONC34CN3C3(Cl)C1C1OC56C7C2[SH2]52C6C74C132,C12H11Cl2N3O2S,3
NS(=O)(=O)c1ccc(CCNC(=O)C2CC(=O)N(Cc3ccccc3Cl)C2)cc1,CC1N2NC34COC5OC36C3C7C8CN4C14CC31SC6C7(O)C(Cl)C4OC5C1C82,C20H22ClN3O4S,4
O=c1nc(CN(c2ccccc2)C2Cc3ccccc3C2)[nH][nH]1,CC1N2OC3C4NC25C2C6C7NCC89C6C86C5C5C7(C6C59C32)N41,C18H18N4O,2
COc1ccc(-c2csc(NC(=O)CN3C(=O)CCC3=O)n2)c(OC)c1,OOC(O)(O)OC(S)CNC1C2=C3C24C2C5NC6N7C8C9C(C96C58C12)C374,C17H17N3O5S,1
COc1cc(C=C(C#N)C#N)cc(-c2cc(C=C(C#N)C#N)cc(OC)c2O)c1O,OC12N3CC45C6C7=C8ON1C19C%10C=C%11C%12%13CC84C%114N(C7(CC54C%121)C2(O3)C%106)C%131NC91O,C22H14N4O4,1
COc1cc(N2C(N)=C(C#N)C(c3ccccc3Cl)C3=C2CC(C)(C)CC3=O)cc(OC)c1OC,OC12CC34C5CC6(Cl)COC3C3CC7C1OCNCC1N8C9CC%10C4C4%11C5=C9C2(C3(CN%10O6)C74)C18%11,C27H28ClN3O4,1
C[C@]1(C(=O)O)CCC[C@]2(C)c3cc(OCCOCc4ccccc4)ccc3CC[C@@H]12,COC12COC1CCC1C(O)CC=CC3C4=CC5C6C7OCCC1C1C7C61C5C4C32,C26H32O4,1
Cc1cc(-c2ccc([N+](=O)[O-])cc2)n[n+](CCCC(=O)O)c1N,O[NH+]1C2C3COOC4N5NC6C7C48CC31C(C1C8C3(CO3)C617)N25,C15H17N4O4+,2
CC(=O)OC(C)C1CC=C(C)CC1(C)C,CC1OC2CCCC3CC(C2)C1(C)CO3,C13H22O2,3
C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(=O)[C@@]3(O)C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,OCC1C2(OO)CC34C5(O)CC67CN8C9C%10C%11=CN8C6C(C(O)(O)C(C(OO)C93C25)C%117O)C%1014,C22H24N2O9,3
CC(=O)c1cc2c(o1)C(=O)C(NC1CCCC1)=CC2=O,OC1NC23CC4=CCOOC(O)(C2)CC42C4=C=CC41C32,C15H15NO4,1
CN1CCN(c2cc3c(cc2F)c(=O)c(-c2nc4s/c(=C\c5ccc(S(N)(=O)=O)cc5)c(=O)n4n2)cn3C2CC2)CC1,OC1C2C34CC5NC6(F)C7C8C9C3%10NC3C%11N5N5C%12=C%13C%14C13C%141CC3=CON8C8C%10C6(O)SC(NC8(O)N4C%12C3%115)[SH2]91C%1372,C28H26FN7O4S2,1
O=C(O)[C@H](Cc1ccc(N2C(=O)CCC2=O)cc1)NC(=O)[C@@H]1CCC(=O)N1Cc1ccccc1,CC1C2OOC3C(NOO)C4C5=C6C7C4C4=C5C65C1C1C6N3CC38CC(C4C2(OO)C3)C(N68)C715,C25H25N3O6,1
Cc1ccccc1Nc1nnc(COc2ccc(-c3ccccc3)cc2)s1,CC1C2OC3N1C1C4C5C6C7C8C9C%10C%11(N)C%12C%13=CC%134C%10%11C2(C5N6SC31%12)C789,C22H19N3OS,2
O=S(=O)(NNc1ccnc2cc(Cl)ccc12)c1cccc2ccccc12,N=C1CC(Cl)C23C4(C(CO)O1)C1C5=N[SH]678C=CC9(C%10=C(C%11N1C%10%11C926)C537)C48,C19H14ClN3O2S,1
OCCNCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,CC1C=CC2C34CC5CON(C1c1c6n5n1C6=O)C21C3C(CCl)C41,C18H18ClN3O2,2
Cc1ccc(-n2cccn2)c(CN2CCC(CCC(=O)N3CCCC3)CC2)c1,CC1C2COC3CCC4NN5NC6C7C68C6(C)C(CN)C9CCC31C46C5(C2)C978,C23H32N4O,1
O=C(CCCC/C=C\c1ccc2c(c1)OCO2)N1CCCC1,CCC1=C2NC3C4=C3C4C3C4C2OC(C)COCC3(C1)C4O,C18H23NO3,2
O=C1NC(Cc2ccc(O)cc2)c2nc3cc(Cl)ccc3c(=O)n2-c2cc(Cl)ccc21,NC12N3C45C6CC7C(Cl)OC8OC9C%10OC%11C9%12C9C6C16C%124C61C3(C%113NC85C321)C%101C7C91Cl,C23H15Cl2N3O3,1
CCOC(=O)CC1(N(C)C(=O)CNC(=O)OC)CCCCC1,COC1C2CC3C4CCC(O)C3(NC(O)(C(O)CN)C4)OC21,C15H26N2O5,1
COC(=O)c1ccc(C(=O)N2CCCC(Nc3ccc(C(C)C)cc3)C2)cc1,NOC1CC=CC2C3CCC4C5C2C2NOC6C7C8=CC2C(O1)C8C7C5C4C36,C23H28N2O3,3
C[C@@H](NC(=O)Nc1cc(F)ccc1F)c1ccccc1,FCC1C2NC34C(F)C5C6C7=C8COC(C7N26)C1(C83)C54,C15H14F2N2O,1
OCc1cc2c(o1)c1ccccc1n2Cc1ccc(Cl)cc1,ClCC12CC34C5=CC(O5)C5OC3C3C6C7C1C71C4C4C53C41N62,C18H14ClNO2,2
C#CCCCO/N=C1/[C@H]2CCN3C(=O)N([C@@H](CC)c4ccccc4)CN3[C@H]2[C@H](O)[C@@H]2O[C@H]12,CC1OCC2(NO)C3CC(O)C45C6C7C8C(C3N)N4C34C9C2(C)C3(C5C6(O)C82NC12C)C794,C24H30N4O4,1
O=C(c1cccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c1)N1CCN(c2ccccc2Cl)CC1,OC1CN2C3NC4CC5C6(Cl)C=C7CC89C7C7%10CC(C2OC78N1%10)C91C2(CC36)C3=CC34C2C51O,C26H24ClN3O3,4
C=CCc1ccccc1OCC(O)CNC(C)C,CCOC1C2CC3C(C4NC31O4)C2C1CCCC1,C15H23NO2,1
Cc1ccc(NC(=O)CSc2nc(=O)n(CCN(C)C)c3c2CCCC3)c(C)c1,C=C1C2SC3C4C5ON(O)C6NC27CC(CC)C(N)(C5N)C2CC5C6(CC2C135)C47,C22H30N4O2S,2
O=C(O)C(=O)[C@H]1Cc2ccccc2CN1S(=O)(=O)c1ccc2oc3ccccc3c2c1,OCC12C3C4=C5CC67CC18OC61C69C%10N(C(O)(C3O)C6S)C9(C36OOC%10(C=C57)C3C86)C421,C23H17NO6S,1
Cc1c(-c2ccc(CNC(=O)c3ccc(SC(F)(F)F)cc3)cc2)[nH]c2cccc(F)c2c1=O,CC1C2C(F)C34CC5=C=C(F)N6C=C7C8=C9C%10C%11C(OC(C9%11C63)C(F)(C2CF)C5%10N2OC2S4)C781,C25H18F4N2O2S,2
Cc1cccn2c(C3CC(c4ccc(F)cc4)=NN3)c(-c3ccccc3)nc12,CC12C34C=C5C3C3CC16N1CC7C1C18C(=C(N3)N1C4N7C21CC2=C1C2)C5C86F,C23H19FN4,1
Cc1ccc(-n2nc(C(=O)NCCN3CCOCC3)c(=O)n(Cc3ccccc3Cl)c2=O)cc1Cl,OC1C2C(Cl)C3C(Cl)C45NN6C78CC9(NC4C657)C(C4C5C6OC37NCC3OC9C16C5C(C32)N47)C8O,C24H25Cl2N5O4,1
COC(=O)C1=CN(C)C(=O)[C@@H]2C(CN3CCN(Cc4ccc(F)cc4)CC3)=CC[C@H]12,CC12C3=C4C56CC7CC8C(CN3CC5=C3C(CN)C8C(O)(COF)C41C37)NC6C2O,C23H28FN3O3,1
Cc1ccccc1S(=O)(=O)Nc1nc2ccccc2nc1N1CCOCC1,SC12CC34C5NC6C7C=NNC8C(OC9C(CN%10C6%11C8C%103CC%11C914)OC75)O2,C19H20N4O3S,1
CC(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2,OC1C2C3C24CC32C4C34NN=C5C3C(Cl)N5N3C5C6OC3C1(O)C(NN4)C5C61OC21,C19H19ClN6O4,1
O=C(Nc1ccc(-n2nn[nH]c2=O)cc1)c1ccc(-c2ccccc2)[nH]1,C1CC23C4CC56OC78C4N4N9C7%10OC7%11C1CC1(N4C521)C3(C1NN17)N(C%116)C98%10,C18H14N6O2,1
O=C1Nc2ccc(-c3ccccc3)cc2C(CNC(=O)c2ccc(F)cc2)(C(F)(F)F)O1,FOC12OCC34C5(F)C6C7C8C(C9=NOC91)C1C5C59NC82C1C1(C(F)C753)C2(C(F)CC214)C69,C23H16F4N2O3,1
